자원명,관리기관구분,시도,군구,경도,위도
망원나들목A동,지방자치단체,서울특별시,마포구,126.899044,37.55407036
망원노외,지방자치단체,서울특별시,마포구,126.9064783,37.55968996
망원시장,지방자치단체,서울특별시,마포구,126.904825,37.55719919
면목초,교육청,서울특별시,중랑구,127.0872878,37.5906966
면북초,교육청,서울특별시,중랑구,127.1035478,37.59441816
명광교회옆,지방자치단체,서울특별시,종로구,126.9965,37.58675
명덕여중,교육청,서울특별시,강서구,126.8342914,37.55394399
명신초,교육청,서울특별시,종로구,127.0146229,37.58145126
명일동,지방자치단체,서울특별시,강동구,127.1559,37.5536
명일여고,교육청,서울특별시,강동구,127.1495815,37.54977633
명지초,교육청,서울특별시,서대문구,126.9282315,37.58362994
목운중,교육청,서울특별시,양천구,126.8730442,37.52700952
묵정공원지하,지방자치단체,서울특별시,중구,126.9998022,37.56368166
묵중안 공영주차장,지방자치단체,서울특별시,중랑구,127.0751169,37.61465149
문래1동,지방자치단체,서울특별시,영등포구,126.8973,37.51343
문백초,교육청,서울특별시,금천구,126.8986974,37.44707627
문일고,교육청,서울특별시,금천구,126.8987207,37.44891526
문정고,교육청,서울특별시,송파구,127.1266921,37.4851785
문정중,교육청,서울특별시,송파구,127.1300209,37.48848095
문현중,교육청,서울특별시,송파구,127.1279464,37.48058417
문화공영,지방자치단체,서울특별시,중구,127.0110209,37.55652714
문화회관 동측,지방자치단체,서울특별시,양천구,126.8638,37.51702
미아초,교육청,서울특별시,성북구,127.0216444,37.61058761
미양고,교육청,서울특별시,강북구,127.0121792,37.62366717
바람개비,지방자치단체,서울특별시,양천구,126.8742,37.53028
반포중,교육청,서울특별시,서초구,126.991604,37.50305237
방배중,교육청,서울특별시,서초구,126.997827,37.49486827
방배초,교육청,서울특별시,서초구,126.987138,37.4867641
방이습지,지방자치단체,서울특별시,송파구,127.1351,37.5088
방학중,교육청,서울특별시,도봉구,127.030859,37.66545122
방화로,지방자치단체,서울특별시,강서구,126.816,37.5701
방화중,교육청,서울특별시,강서구,126.8071069,37.56433471
배봉초,교육청,서울특별시,동대문구,127.0668719,37.58008416
배오개길,지방자치단체,서울특별시,중구,126.998,37.56534
배재고,교육청,서울특별시,강동구,127.1502473,37.55505939
백산초,교육청,서울특별시,금천구,126.905146,37.446786
백석중,교육청,서울특별시,강서구,126.8589539,37.54829091
백운중,교육청,서울특별시,도봉구,127.0359076,37.65640592
버티공영,지방자치단체,서울특별시,중구,127.0063049,37.54907253
번동초,교육청,서울특별시,강북구,127.0400394,37.62902386
별관청사,지방자치단체,서울특별시,영등포구,126.8944,37.52867
보라매공원동문 공영주차장,지방자치단체,서울특별시,동작구,126.9226597,37.49388178
보라매병원앞 공영주차장,지방자치단체,서울특별시,동작구,126.9228212,37.49163747
보성여중,교육청,서울특별시,용산구,126.9842842,37.54308154
복정역,지방자치단체,서울특별시,송파구,127.1277,37.47015
본동초,교육청,서울특별시,동작구,126.9538508,37.50992508
봉래초,교육청,서울특별시,중구,126.9652506,37.55641234
봉림중,교육청,서울특별시,관악구,126.9377027,37.48119817
봉상시길,지방자치단체,서울특별시,송파구,127.0800406,37.51089294
봉원중,교육청,서울특별시,관악구,126.9588909,37.48410274
봉은중,교육청,서울특별시,강남구,127.0623894,37.51897667
봉천복개3,지방자치단체,서울특별시,관악구,126.9311,37.48783
봉현초,교육청,서울특별시,관악구,126.9555874,37.49124068
북성초교 공영주차장,지방자치단체,서울특별시,서대문구,126.9518349,37.55963212
북아현동 제2공영주차장,지방자치단체,서울특별시,서대문구,126.9582929,37.56005012
북악중,교육청,서울특별시,성북구,127.0016095,37.60700905
불암고,교육청,서울특별시,노원구,127.0803058,37.64915853
비봉,지방자치단체,서울특별시,종로구,126.9565,37.61195
사당노외,지방자치단체,서울특별시,서초구,126.9837,37.4754
산업은행앞,지방자치단체,서울특별시,영등포구,126.920832,37.5271224
삼각지고가밑,지방자치단체,서울특별시,용산구,126.9689,37.53722
삼선중,교육청,서울특별시,성북구,127.0078716,37.59174763
삼성고,교육청,서울특별시,관악구,126.9436699,37.46913998
삼성중,교육청,서울특별시,관악구,126.9425132,37.4676059
삼양초,교육청,서울특별시,강북구,127.0161491,37.62329558
상계고,교육청,서울특별시,노원구,127.0554534,37.65272468
상계역 서측 주택가 공영주차장,지방자치단체,서울특별시,노원구,127.071,37.65997
상계중,교육청,서울특별시,노원구,127.0689222,37.65260154
상명초,교육청,서울특별시,노원구,127.0669678,37.64872348
상암1,지방자치단체,서울특별시,마포구,126.8971661,37.57727379
상원중,교육청,서울특별시,노원구,127.0595076,37.67176621
새마을시장,지방자치단체,서울특별시,송파구,127.0864,37.50912
새물결,지방자치단체,서울특별시,마포구,126.9245703,37.55703127
서강대역,지방자치단체,서울특별시,마포구,126.9364908,37.55106386
서라벌중,교육청,서울특별시,강북구,127.0114883,37.65698403
서소문삼성생명뒤,지방자치단체,서울특별시,중구,126.9742,37.56177
서울고,교육청,서울특별시,서초구,127.0049019,37.48429306
서울관광고,교육청,서울특별시,관악구,126.9437608,37.48781542
서울금융고,교육청,서울특별시,양천구,126.8256241,37.53761704
서울나래학교,교육청,서울특별시,서초구,127.0514985,37.46402498
서울남부출입국·외국인사무소,중앙행정기관,서울특별시,강서구,126.821106,37.5617439
서울동산고,교육청,서울특별시,노원구,127.0739984,37.63077798
서울미술고,교육청,서울특별시,관악구,126.9667485,37.47669631
서울세관,중앙행정기관,서울특별시,강남구,127.0337788,37.51830058
서울아이티고,교육청,서울특별시,노원구,127.0624493,37.64241844
서울예고,교육청,서울특별시,종로구,126.9678907,37.60575682
서울외고,교육청,서울특별시,도봉구,127.0515087,37.64578079
서울전자고,교육청,서울특별시,서초구,126.9883627,37.46972182
서울정문학교,교육청,서울특별시,관악구,126.9169516,37.46171259
서울지방국세청,중앙행정기관,서울특별시,종로구,126.979874,37.574115
서울출입국·외국인청,중앙행정기관,서울특별시,양천구,126.8695211,37.5191442
서울한방진흥센터,지방자치단체,서울특별시,동대문구,127.0376267,37.58065617
서인사마당,지방자치단체,서울특별시,종로구,126.9838,37.57358
서초고,교육청,서울특별시,서초구,127.0053782,37.48961169
서초문화예술정보학교,교육청,서울특별시,서초구,127.0299765,37.48806647
석계역앞 공영주차장,지방자치단체,서울특별시,노원구,127.0652,37.61568
석계초,교육청,서울특별시,성북구,127.0697321,37.60881368
석관고,교육청,서울특별시,성북구,127.0667176,37.60958929
석관중,교육청,서울특별시,성북구,127.0667131,37.60814014
석관초,교육청,서울특별시,성북구,127.0583553,37.61102206
선릉로132길,지방자치단체,서울특별시,강남구,127.0428,37.51792
선릉로146길,지방자치단체,서울특별시,강남구,127.0406,37.52181
선린중,교육청,서울특별시,용산구,126.9660387,37.54276984
성곽공영,지방자치단체,서울특별시,중구,127.0048389,37.55052231
성내역,지방자치단체,서울특별시,송파구,127.1048,37.51679
성내전통시장,지방자치단체,서울특별시,강동구,127.127877,37.5332974
성북동길 공영주차장,지방자치단체,서울특별시,성북구,126.9939,37.59476
성북초,교육청,서울특별시,성북구,126.9987754,37.59405389
성사중,교육청,서울특별시,마포구,126.912683,37.5680911
성산중,교육청,서울특별시,마포구,126.9165628,37.54731637
성신초,교육청,서울특별시,성북구,127.0231285,37.59462313
성애병원앞,지방자치단체,서울특별시,영등포구,126.9225574,37.51178334
성원중,교육청,서울특별시,성동구,127.0513835,37.53945182
세곡중,교육청,서울특별시,강남구,127.0918862,37.47198073
세곡초,교육청,서울특별시,구로구,126.8491198,37.5050561
세우빌딩앞,지방자치단체,서울특별시,영등포구,126.9255701,37.53037638
세운상가밑,지방자치단체,서울특별시,종로구,126.9952,37.56928
세일중,교육청,서울특별시,금천구,126.8953689,37.47459441
소금나루도서관,지방자치단체,서울특별시,마포구,126.946234,37.5495243
소파로케이블카앞,지방자치단체,서울특별시,중구,126.9841,37.55599
손기정체육공원공영,지방자치단체,서울특별시,중구,126.9648157,37.5554795
송곡고,교육청,서울특별시,중랑구,127.1064637,37.60584544
송곡여고,교육청,서울특별시,중랑구,127.1051455,37.60668904
송림기사식당길 공영주차장,지방자치단체,서울특별시,광진구,127.0765,37.53669
송중초,교육청,서울특별시,강북구,127.0319965,37.61746908
송파공고,교육청,서울특별시,송파구,127.1423309,37.49179274
송파중,교육청,서울특별시,송파구,127.1299324,37.49592462
송파초,교육청,서울특별시,송파구,127.111119,37.50713737
수도공고,교육청,서울특별시,강남구,127.0644787,37.48493754
수락산,지방자치단체,서울특별시,노원구,127.0559,37.67904
수락산 디자인 서울거리 공영주차장,지방자치단체,서울특별시,노원구,127.0574,37.6752
수서중,교육청,서울특별시,강남구,127.1023799,37.49120377
수유중,교육청,서울특별시,강북구,127.0125484,37.6315422
수유초,교육청,서울특별시,강북구,127.0202924,37.63124966
숙명여고,교육청,서울특별시,강남구,127.0526126,37.49147536
숙명여중,교육청,서울특별시,강남구,127.0526126,37.49147536
숭곡중,교육청,서울특별시,성북구,127.0312998,37.60847848
숭덕초,교육청,서울특별시,성북구,127.013291,37.6038198
숭실중,교육청,서울특별시,은평구,126.9024039,37.59327482
시네마빌딩부설주차장,지방자치단체,서울특별시,성북구,127.0147745,37.59915583
시민열린마당뒤,지방자치단체,서울특별시,종로구,126.9789,37.57534
신계초,교육청,서울특별시,노원구,127.052769,37.62979163
신관중,교육청,서울특별시,관악구,126.9344522,37.48020125
신당사거리공영,지방자치단체,서울특별시,중구,127.0170048,37.56512167
신당역공영,지방자치단체,서울특별시,중구,127.0207514,37.56529199
신대방,지방자치단체,서울특별시,동작구,126.913,37.48755
신도림고,교육청,서울특별시,구로구,126.8820838,37.51406292
신도림중,교육청,서울특별시,구로구,126.8848071,37.51074073
신도봉중,교육청,서울특별시,도봉구,127.0332481,37.64959473
신동중,교육청,서울특별시,서초구,127.0129154,37.5169159
신림고,교육청,서울특별시,관악구,126.9169672,37.47921049
신문로,지방자치단체,서울특별시,종로구,126.9731,37.57104
신봉초,교육청,서울특별시,관악구,126.9493929,37.48557653
신사초,교육청,서울특별시,은평구,126.9119832,37.59283483
신성초,교육청,서울특별시,관악구,126.9367542,37.47200331
신양초,교육청,서울특별시,광진구,127.0699953,37.53468209
신우초,교육청,서울특별시,관악구,126.9325353,37.46326397
신원중,교육청,서울특별시,양천구,126.8248419,37.5370925
신월1동저지1구역,지방자치단체,서울특별시,양천구,126.838,37.52982
신월1동저지2구역,지방자치단체,서울특별시,양천구,126.8342,37.53637
신정4동 로데오길,지방자치단체,서울특별시,양천구,126.8619,37.52784
신정4동길,지방자치단체,서울특별시,양천구,126.8616,37.52632
신정7동 한사랑교회 앞,지방자치단체,서울특별시,양천구,126.8601,37.51479
신천유수지,지방자치단체,서울특별시,송파구,127.103,37.52239
신천중,교육청,서울특별시,송파구,127.0792834,37.51625001
신촌노상,지방자치단체,서울특별시,마포구,126.9349578,37.55555261
신촌노외,지방자치단체,서울특별시,마포구,126.9352179,37.55558374
신촌역동측광장 공영주차장,지방자치단체,서울특별시,서대문구,126.943077,37.55931882
신한증권옆 공영주차장,지방자치단체,서울특별시,노원구,127.0778,37.65127
신흥증권앞,지방자치단체,서울특별시,영등포구,126.9277317,37.52432137
암사1동 노상주차장,지방자치단체,서울특별시,강동구,127.1296,37.5507
압구정로29길,지방자치단체,서울특별시,강남구,127.0272,37.53071
압구정중,교육청,서울특별시,강남구,127.0330027,37.53024224
약수동공영,지방자치단체,서울특별시,중구,127.0133314,37.55224094
양재초,교육청,서울특별시,서초구,127.0318925,37.47416538
양천세무서,중앙행정기관,서울특별시,양천구,126.870017,37.5203267
양평동(동),지방자치단체,서울특별시,영등포구,126.8902,37.53968
양화진,지방자치단체,서울특별시,마포구,126.9111988,37.54554956
언주로147길,지방자치단체,서울특별시,강남구,127.0328,37.51985
언주로171길,지방자치단체,서울특별시,강남구,127.0322,37.52701
언주중,교육청,서울특별시,강남구,127.0466832,37.51465316
여의도공원앞1,지방자치단체,서울특별시,영등포구,126.9216036,37.52669341
여의도백화점앞,지방자치단체,서울특별시,영등포구,126.9286012,37.52069663
여의도중,교육청,서울특별시,영등포구,126.9357531,37.5239802
여의서로,지방자치단체,서울특별시,영등포구,126.9303,37.52853
연남,지방자치단체,서울특별시,마포구,126.9241067,37.56105816
연서중,교육청,서울특별시,은평구,126.9092766,37.58701931
연은초,교육청,서울특별시,은평구,126.9251126,37.59051222
연천중,교육청,서울특별시,은평구,126.9258198,37.62754521
연희동 제6공영주차장,지방자치단체,서울특별시,서대문구,126.927984,37.57494277
연희맛로 공영주차장,지방자치단체,서울특별시,서대문구,126.9305962,37.56768754
연희중,교육청,서울특별시,서대문구,126.9187918,37.57958728
염리,지방자치단체,서울특별시,마포구,126.9452043,37.54199309
영구청환승,지방자치단체,서울특별시,영등포구,126.895522,37.52472308
영동대로106길,지방자치단체,서울특별시,강남구,127.0638,37.51419
영동대로85길,지방자치단체,서울특별시,강남구,127.0574,37.50655
영동대로86길,지방자치단체,서울특별시,강남구,127.065,37.50846
영동대로96길,지방자치단체,서울특별시,강남구,127.0643,37.51076
영동중,교육청,서울특별시,서초구,127.0251407,37.46598629
영등포로터리,지방자치단체,서울특별시,영등포구,126.9107,37.51773
영등포세무서,중앙행정기관,서울특별시,영등포구,126.892634,37.5252961
영등포중,교육청,서울특별시,동작구,126.9331435,37.5080846
영락고,교육청,서울특별시,관악구,126.9454164,37.47654259
영락의료과학고,교육청,서울특별시,관악구,126.9454164,37.47654259
영신간호비즈니스고,교육청,서울특별시,노원구,127.0832769,37.65245208
영신여고,교육청,서울특별시,노원구,127.0832769,37.65245208
예림디자인고,교육청,서울특별시,구로구,126.827683,37.50035507
오금고,교육청,서울특별시,송파구,127.128969,37.50453217
오금중,교육청,서울특별시,송파구,127.1288011,37.50527064
오현초,교육청,서울특별시,강북구,127.0465761,37.62341912
옥수역,지방자치단체,서울특별시,성동구,127.0171,37.54219
온수역(남),지방자치단체,서울특별시,구로구,126.8241,37.4919
왕북초,교육청,서울특별시,강남구,127.0860547,37.48632828
용강,지방자치단체,서울특별시,마포구,126.9398403,37.54230637
용강중,교육청,서울특별시,용산구,126.9754853,37.52157693
용산구 종합행정타운 부설주차장,지방자치단체,서울특별시,용산구,126.9904788,37.53245229
용산세무서,중앙행정기관,서울특별시,용산구,126.968701,37.5231613
용산중,교육청,서울특별시,용산구,126.9809252,37.54606606
원묵고,교육청,서울특별시,중랑구,127.0855078,37.61523231
원묵중,교육청,서울특별시,중랑구,127.0843728,37.61779428
원서공원앞,지방자치단체,서울특별시,종로구,126.988,37.57809
원신초,교육청,서울특별시,관악구,126.9272409,37.46719824
월계고,교육청,서울특별시,노원구,127.0487159,37.63173301
월곡중,교육청,서울특별시,성북구,127.0482588,37.60698163
월곡초,교육청,서울특별시,성북구,127.046081,37.61002442
월드컵시장,지방자치단체,서울특별시,마포구,126.9050489,37.557514
월천초,교육청,서울특별시,도봉구,127.0517539,37.64804738
위례성길,지방자치단체,서울특별시,송파구,127.1178,37.5155
유경백화점뒤 공영주차장,지방자치단체,서울특별시,노원구,127.0771,37.64919
윤중중,교육청,서울특별시,영등포구,126.9241232,37.51893021
은마아파트,지방자치단체,서울특별시,강남구,127.0653,37.49742
은평고,교육청,서울특별시,은평구,126.9057802,37.60984462
은평세무서,중앙행정기관,서울특별시,은평구,126.926393,37.6018255
을지로,지방자치단체,서울특별시,중구,126.9936,37.56641
이문초,교육청,서울특별시,동대문구,127.064885,37.60189649
인덕과학기술고,교육청,서울특별시,노원구,127.0544999,37.63034387
인수초,교육청,서울특별시,강북구,127.0091358,37.64305053
인왕중,교육청,서울특별시,서대문구,126.9517793,37.59272256
인왕초,교육청,서울특별시,서대문구,126.9448045,37.59021988
인헌중,교육청,서울특별시,관악구,126.9688402,37.47269621
인헌초,교육청,서울특별시,관악구,126.9598639,37.47675499
일신초,교육청,서울특별시,성북구,127.0401781,37.59881357
일원동 맛의거리,지방자치단체,서울특별시,강남구,127.0851,37.49088
일원역,지방자치단체,서울특별시,강남구,127.0841,37.48468
일자산제2체육관 부설주차장,지방자치단체,서울특별시,강동구,127.1497051,37.52935881
자양유수지 공영주차장,지방자치단체,서울특별시,광진구,127.0782846,37.52953686
자운고,교육청,서울특별시,도봉구,127.0506907,37.65904641
잠실고,교육청,서울특별시,송파구,127.106515,37.52293043
장월초,교육청,서울특별시,성북구,127.0471733,37.62194109
장위중,교육청,서울특별시,성북구,127.0408411,37.61129251
장충공영,지방자치단체,서울특별시,중구,127.001327,37.5599708
장충단로(한남광장),지방자치단체,서울특별시,용산구,127.0027,37.54757
적선노외,지방자치단체,서울특별시,종로구,126.9742,37.57448
전농초,교육청,서울특별시,동대문구,127.0543331,37.57473031
정릉천공영주차장,지방자치단체,서울특별시,동대문구,127.0345952,37.5805142
제1장위전통시장공영주차장,지방자치단체,서울특별시,성북구,127.0498969,37.61033001
제2장위전통시장공영주차장,지방자치단체,서울특별시,성북구,127.0524962,37.61110175
제방도로,지방자치단체,서울특별시,구로구,126.8932,37.4985
종각뒤,지방자치단체,서울특별시,종로구,126.9836,37.56966
종암중,교육청,서울특별시,성북구,127.0319913,37.593111
주공1~3단지주변 공영주차장,지방자치단체,서울특별시,노원구,127.0582,37.65177
주공11단지상가뒤 공영주차장,지방자치단체,서울특별시,노원구,127.0557,37.66569
주공12단지상가뒤 공영주차장,지방자치단체,서울특별시,노원구,127.0579,37.66597
주공3단지상가주변 공영주차장,지방자치단체,서울특별시,노원구,127.0579,37.65307
주공4~6단지주변 공영주차장,지방자치단체,서울특별시,노원구,127.063,37.6527
주공5단지옆 공영주차장,지방자치단체,서울특별시,노원구,127.0764,37.65157
주공6단지상가주변 공영주차장,지방자치단체,서울특별시,노원구,127.0647,37.65369
주공7단지옆 공영주차장,지방자치단체,서울특별시,노원구,127.06,37.65841
중경고,교육청,서울특별시,용산구,126.9756383,37.5176804
중곡복개천 공영주차장,지방자치단체,서울특별시,광진구,127.0832682,37.56152982
중구구민회관 부설,지방자치단체,서울특별시,중구,127.0057956,37.5689855
중대부중,교육청,서울특별시,동작구,126.9617326,37.50362942
중대초,교육청,서울특별시,송파구,127.1136055,37.4998119
중림종합복지센터 부설,지방자치단체,서울특별시,중구,126.9662595,37.55943026
중소기업중앙회앞,지방자치단체,서울특별시,영등포구,126.9226561,37.52819958
중앙도서관,지방자치단체,서울특별시,마포구,126.9082019,37.56379544
중앙일보사,지방자치단체,서울특별시,중구,126.9711,37.5616
중화고,교육청,서울특별시,중랑구,127.0836541,37.60481461
중화중,교육청,서울특별시,중랑구,127.0945608,37.58450379
중화초,교육청,서울특별시,중랑구,127.094065,37.60292163
지방공기업평가원,공공기관,서울특별시,서초구,127.0092085,37.49155537
진관고,교육청,서울특별시,은평구,126.9243825,37.64333857
진주아파트옆,지방자치단체,서울특별시,영등포구,126.9316715,37.51854009
진흥로,지방자치단체,서울특별시,은평구,126.9206,37.60176
창덕여중,교육청,서울특별시,중구,126.9692102,37.5664328
창동고,교육청,서울특별시,도봉구,127.0388191,37.65103577
창북중,교육청,서울특별시,도봉구,127.0388329,37.64911577
창신초,교육청,서울특별시,종로구,127.0142937,37.57621147
창천중교,지방자치단체,서울특별시,마포구,126.9392951,37.55491782
천호2동 노외주차장,지방자치단체,서울특별시,강동구,127.123,37.54034
천호2동제2 노상주차장,지방자치단체,서울특별시,강동구,127.1231,37.54024
청계1,지방자치단체,서울특별시,종로구,126.9877,37.56908
청계2,지방자치단체,서울특별시,종로구,126.9912,37.56843
청계3,지방자치단체,서울특별시,종로구,126.9972,37.56882
청계5,지방자치단체,서울특별시,종로구,127.0026,37.56968
청계5가,지방자치단체,서울특별시,중구,127.0078,37.56959
청계6,지방자치단체,서울특별시,종로구,127.0110264,37.56963528
청계7,지방자치단체,서울특별시,종로구,127.0163,37.56999
청계8,지방자치단체,서울특별시,동대문구,127.0249,37.57135
청구건영아파트옆 공영주차장,지방자치단체,서울특별시,노원구,127.0746,37.64968
청구공영,지방자치단체,서울특별시,중구,127.0134041,37.55897634
청기와,지방자치단체,서울특별시,마포구,126.9129368,37.5546904
청량고,교육청,서울특별시,동대문구,127.051311,37.588886
청량리제1공영,지방자치단체,서울특별시,동대문구,127.0409317,37.57914438
